ID,Type,Module,Topic,Difficulty,DifficultyValue,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CurriculumMapID,CourseCode,Subtopic,Discrimination,Guessing,Active,ExposureCount,AttemptCount,CorrectCount,AverageTimeSeconds,Explanation,LearningOutcome
59,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Medium,3,A coil in series with evaporator that is use to prevent the liquid refrigerant entering the compressor,Accumulator,Liquid superheater,Drier loop,Liquid suction heat exchanger,C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Drier loop. This item checks the accepted term, value, or principle used in System Protection.","Explain key concepts, terms, and operating principles under Heat Transfer."
144,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Medium,3,The cooling water is made to fall in series of baffles to expose large surface area for steam led from below to come in direct contact.,Spray condenser,Surface condenser,Jet condenser,Barometric condenser,D,PRC-PPE-25-Cooling-Towers-and-other-Water-Cooling-Equipment,M312,Cooling Towers and other Water Cooling Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Barometric condenser. This item checks the accepted term, value, or principle used in Cooling Towers and Other Water Cooling Equipment.","Explain key concepts, terms, and operating principles under Cooling Towers and Other Water Cooling Equipment."
178,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,"Is the mode of energy transfer between a solid surface and the adjacent liquid or gas which is in motion, and it involves combine effects of conduction and fluid motion.",Conduction,Convection,Radiation,None of these,B,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Convection. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
179,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Radiation is usually considered as,Surface phenomenon,Surface interaction,Surface corrosion,None of these,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Surface phenomenon. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
247,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Heat exchangers typically involve,no work interaction,no heat interaction,no energy interaction,none of these,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is none of these. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
289,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,This type of heat exchanger allows fluids to flow at right angles to each other,Series flow,Parallel flow,Cross flow,Counter flow,C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Cross flow. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
325,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Easy,1,"in a ______ cooling tower, the air moves horizontally through the fills as the water moves downward.",cross flow,counter flow,parallel flow,double flow,A,PRC-PPE-25-Cooling-Towers-and-other-Water-Cooling-Equipment,M312,Cooling Towers and other Water Cooling Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is cross flow. This item checks the accepted term, value, or principle used in Cooling Towers.","Explain key concepts, terms, and operating principles under Cooling Towers and Other Water Cooling Equipment."
329,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Easy,1,it is the warm water temperature minus the cold water temperature leaving the cooling tower,approach,terminal difference,cooling range,LMTD,C,PRC-PPE-25-Cooling-Towers-and-other-Water-Cooling-Equipment,M312,Cooling Towers and other Water Cooling Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is cooling range. This item checks the accepted term, value, or principle used in Cooling Towers.","Explain key concepts, terms, and operating principles under Cooling Towers and Other Water Cooling Equipment."
331,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Easy,1,the surrounding air ____ temperature is the lowest temperature to which water could possibly be cooled in a cooling tower,dry bulb,wet bulb,dew point,saturation temperature,B,PRC-PPE-25-Cooling-Towers-and-other-Water-Cooling-Equipment,M312,Cooling Towers and other Water Cooling Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is wet bulb. This item checks the accepted term, value, or principle used in Cooling Towers.","Explain key concepts, terms, and operating principles under Cooling Towers and Other Water Cooling Equipment."
345,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,the transfer of energy from the more energetic in two or more energetic particles of a substance to the adjacent less energetic ones as a result of interaction between the particles,heat transfer,radiation,conduction,convection,C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is conduction. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
526,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Hard,5,According to Pettlier Thompson effect:,Work can’t be converted into heat,It is impossible to construct a device that operates in a cycle and produces no effect other than the transfer of heat form a cooler body to a hotter body.,"When two dissimilar metals are heated at one end and cooled at other, emf that is developed is proportional to difference of temperatures at two ends",It is impossible to construct a heat engine that operates in a cycle and receives a give quantity of heat from a high temperature body and does an equal amount of work,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Work can’t be converted into heat. This item checks the accepted term, value, or principle used in Thermodynamics / Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
607,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,An instrument commonly used in most research and engineering laboratories because it is small and fast among the other thermometers.,Thermocouple,Liquid-in-glass thermometer,Gas thermometer,Mercury thermometer,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,The correct answer is Thermocouple. It best matches the stated operating requirement or equipment characteristic in Heat Transfer.,Select appropriate Heat Transfer components or operating conditions based on stated requirements.
